# NXPC historical circulating supply — scripts/backfill.mjs pulled this from on-chain.
#
# This file is validated at build time. A wrong format fails the build.
# There is no circulating supply column — it is derived as total issued − burned − non-circulating.
# Using a stored value can drift from the formula at the top of the page, and then the graph lies.
#
#   date             YYYY-MM-DD (the block just before 00:00 UTC on that day)
#   total_issued     total issued (constant, 1 billion)
#   burned           cumulative burned
#   non_circulating  reward pool + cliff-locked allocations (IP MG, team, advisors)
#   bridged          amount deposited in the C-Chain bridge
#   block            block height at that point
#
# The classification applies today's registry (src/data/wallets.yaml) to past state.
# If a snapshot has the same date, the measured value (the snapshot) wins.
date,total_issued,burned,non_circulating,bridged,block
2025-05-15,1000000000,0,810960000,80322869,69737
2025-05-22,1000000000,0,810960000,110370975,339416
2025-05-29,1000000000,0,808830040,109067129,635891
2025-06-05,1000000000,0,806705752,107769335,930920
2025-06-12,1000000000,0,824587119,106896074,1157809
2025-06-19,1000000000,0,822474127,107965113,1381634
2025-06-26,1000000000,0,820366761,107642356,1637951
2025-07-03,1000000000,0,818265005,107139484,1898796
2025-07-10,1000000000,0,816168846,98843430,2162152
2025-07-17,1000000000,0,814078267,99122931,2424558
2025-07-24,1000000000,0,811993254,99372397,2684530
2025-07-31,1000000000,0,809913792,99431981,2902731
2025-08-07,1000000000,0,807839867,99424845,3126522
2025-08-14,1000000000,0,805771464,99889913,3401893
2025-08-21,1000000000,0,803708568,100000980,3700174
2025-08-28,1000000000,0,801651164,101439302,3993289
2025-09-04,1000000000,0,799599238,101835926,4288966
2025-09-11,1000000000,0,797552775,102412228,4587149
2025-09-18,1000000000,0,795511760,103052384,4884603
2025-09-25,1000000000,0,793476180,103364164,5169433
2025-10-02,1000000000,0,791446019,103936205,5466998
2025-10-09,1000000000,0,789421264,104476790,5767695
2025-10-16,1000000000,0,787401899,104602673,6069190
2025-10-23,1000000000,0,785387911,105134820,6367562
2025-10-30,1000000000,0,783379284,105623029,6664566
2025-11-06,1000000000,0,781376006,105809392,6962485
2025-11-13,1000000000,0,779378062,106548269,7259191
2025-11-20,1000000000,0,777385436,107171209,7557164
2025-11-27,1000000000,0,775398116,107667743,7846971
2025-12-04,1000000000,3840417,773416088,108033751,8145873
2025-12-11,1000000000,3840417,771439336,109834893,8446704
2025-12-18,1000000000,3840417,769467847,110038776,8740614
2025-12-25,1000000000,3840417,767501607,110035419,9030820
2026-01-01,1000000000,3840417,765540603,110057070,9325589
2026-01-08,1000000000,3840417,763584819,110237211,9617964
2026-01-15,1000000000,3840417,761634242,110267139,9908976
2026-01-22,1000000000,5447426,759688859,110235829,10205231
2026-01-29,1000000000,5447426,757748656,110466709,10499640
2026-02-05,1000000000,5447426,755813618,110805297,10795311
2026-02-12,1000000000,5447426,753883732,110117076,11091052
2026-02-19,1000000000,5447426,746271734,115678468,11386554
2026-02-26,1000000000,5447426,744352109,115329101,11678967
2026-03-05,1000000000,5447426,742437597,115185418,11965010
2026-03-12,1000000000,5447426,740528182,115136217,12256325
2026-03-19,1000000000,5447426,738623850,115499053,12547947
2026-03-26,1000000000,5447426,736724589,115220713,12835641
2026-04-02,1000000000,5447426,734830385,115051986,13125929
2026-04-09,1000000000,5447426,732941223,115076052,13416249
2026-04-16,1000000000,5447426,731057092,115086666,13704754
2026-04-23,1000000000,5447426,729177977,115363211,13988274
2026-04-30,1000000000,5447426,727303865,115284221,14281645
2026-05-07,1000000000,5447426,725434743,115397305,14577386
2026-05-14,1000000000,5447426,723570597,115787562,14869066
2026-05-21,1000000000,5447426,714076415,125811716,15152401
2026-05-28,1000000000,8323910,712222182,125829962,15443704
2026-06-04,1000000000,8323910,710372886,126069193,15737665
2026-06-11,1000000000,8323910,708528514,124907944,16028241
2026-06-18,1000000000,8323910,706689053,124585516,16318693
2026-06-25,1000000000,8323910,704854488,124070807,16612081
2026-07-02,1000000000,8323910,703024809,123513578,16902404
2026-07-09,1000000000,8323910,701200000,123158230,17196553
2026-07-16,1000000000,8323910,699380050,122602390,17488219
2026-07-23,1000000000,11649435,697564946,122216476,17771973
2026-07-30,1000000000,11649435,695754674,122363408,18059418
2026-08-06,1000000000,11649435,693949222,122268937,18351842
2026-08-13,1000000000,11649435,692148577,122244547,18643026
2026-08-20,1000000000,11649435,689654614,127503442,18930055
2026-08-27,1000000000,11649435,687863545,127727760,19210295
